Feature,log2FC,p_value,student T-test
PI.16.0_20.3...A.%mol,-0.6556629292902265,0.3940713409061065,-0.8527172430699673
LPC.P.20.0.%mol,-0.6834476495664212,0.42719459700518647,-0.7944061812374867
CER.D20.1.24.1.%mol,-0.7136579409641151,0.6343926092329404,-0.475735632560071
AC.18.1.%mol,-0.7157332010572368,0.8072313306169169,-0.24408014572147496
PE.P.18.1.20.3...B.%mol,-0.7215673038286532,0.35250317937506537,-0.9302869145261771
PE.15.MHDA_18.2.%mol,-0.7222650103608288,0.7114636650702039,-0.3700224948575737
SM.34.3.%mol,-0.7436239223412286,0.08784007662985119,-1.7089930935369466
TG.50.3...NL.14.1.%mol,-0.7880326705930258,0.13830148275409196,-1.483628028727429
DE.18.1.%mol,-0.7960664345120776,0.8888308824632103,-0.13982825599505241
PC.18.0_22.4.%mol,-0.8336066114926943,0.40541482878224544,-0.8324297665415925
DG.18.1_18.2.%mol,-0.8500679417571853,0.47879418844125743,-0.7085757747733475
AC.16.1..OH%mol,-0.8613079582531284,0.5293918714801812,-0.6292089918508291
LPC.22.5...SN1...N6.%mol,-0.8684680823858137,0.15423340131131857,-1.4260867327250009
LPC.O.24.1.%mol,-0.8711713436742237,0.4667194956441316,-0.7281750817870375
TG.52.3...NL.16.1.%mol,-0.8777236356663956,0.08786432921304471,-1.7088622493759744
SM.35.2...B.%mol,-0.878598473415952,0.07827298930155187,-1.7630548200040204
PC.O.18.0.18.2.%mol,-0.8885487259946458,0.23457165734266008,-1.1895616355769634
CE.17.0.%mol,-0.9008426152942111,0.6591026806308962,-0.44131712120405436
DG.18.1_18.3.%mol,-0.9056503436920469,0.6474237454092666,-0.4575169504093289
LPC.O.18.0.%mol,-0.9082496472271657,0.11134686098124524,-1.5939292584083118
LPC.20.4...SN2.%mol,-0.9123177963961489,0.5944866836162664,-0.5325591300618496
GM3.D18.1.20.0.%mol,-0.9174659331564747,0.13166776960792378,-1.5091011075479932
LPC.18.1...SN1.%mol,-0.9266738239428758,0.14712138281103004,-1.4511812993028637
AC.18.0..OH%mol,-0.937695064858552,0.4868828995269362,-0.6955975656427471
TG.53.2...NL.18.1.%mol,-0.9380038196661431,0.3626388988258503,-0.9108687516589947
AC.14.0..OH%mol,-0.9660443576781219,0.7634954318923785,-0.3009964252345716
TG.50.3...NL.16.1.%mol,-0.9861482863469213,0.1930425824418538,-1.302727778295986
PE.16.0_18.1.%mol,-1.0052987546647536,0.9443918993455096,-0.06977284278073635
DG.16.0_16.1.%mol,-1.0184033709907325,0.8034423640837933,-0.24897714736134666
TG.50.2...NL.14.0.%mol,-1.0276144277028578,0.2852969842549479,-1.0692112680000454
PE.P.18.0.22.4.%mol,-1.0290796213140894,0.3728082683833449,-0.8917253809248284
CE.20.4....OH.%mol,-1.0426864711503043,0.25937852806757844,-1.1286626175339127
LPE.P.18.1.%mol,-1.080657712616894,0.3544469144263156,-0.9265360150061374
PE.P.18.0.22.5...N6.%mol,-1.0875326239003442,0.44896978916570796,-0.7575060695201533
LPC.P.18.1.%mol,-1.1168267823936127,0.05119902726909925,-1.9527379380865761
PI.18.0_20.3...B.%mol,-1.1638986212068723,0.42998036177013277,-0.7896257045351343
TG.51.2...NL.17.0.%mol,-1.175846446252475,0.4813966099447261,-0.7043872914677419
LPC.22.5...N3...SN1...104_SN1.%mol,-1.2425020506022477,0.7665145191925428,-0.2970381117016193
LPC.22.4...SN1.%mol,-1.2532870201173552,0.04258287702810496,-2.0310226990224143
DG.18.1_20.3.%mol,-1.2588260358683794,0.46202156223589286,-0.7358764938178352
CER.D17.1.24.1.%mol,-1.293297323527085,0.8237954339544299,-0.22273908686784288
CE.22.6....OH.%mol,-1.3032084665508883,0.5444727831725418,-0.6063222611074585
TG.51.2...NL.17.1.%mol,-1.3309634181911854,0.3738996794380206,-0.8896902614150557
TG.54.3...SIM.%mol,-1.333978524805227,0.24311209336413178,-1.1681057746902517
TG.48.2...NL.14.1.%mol,-1.365200686865645,0.3772493886164626,-0.883467046405777
CER.D17.1.20.0.%mol,-1.3829407773886686,0.28208540786992375,-1.0763719958807936
TG.51.2...SIM.%mol,-1.4044280614091758,0.35739282839921394,-0.9208758946673625
CER.D18.1.24.1.%mol,-1.4388598912798756,0.6280648608790882,-0.4846393452768694
SM.D18.2.18.1.%mol,-1.4884179565274955,0.0010668103585726512,-3.2842997574571906
LPC.22.5...SN1...N3..LPC.22.5...SN2...N6.%mol,-1.50116685469607,0.5213202877642248,-0.6415944914981497
DEDE.18.2.%mol,-1.6274716474628086,0.004463904572390402,-2.8514648012695267
SM.D18.1.16.0.%mol,-1.6276087018135925,0.5013104262099888,-0.672734585758815
CE.22.4.%mol,-1.6572661849441968,0.026376978743567602,-2.2247392673550928
LPC.22.4...SN2.%mol,-1.6695822263959315,0.01860627847600045,-2.3581443483033393
DG.18.0_18.2.%mol,-1.7210023179640253,0.3583357349215981,-0.9190704695746741
PC.O.18.0.18.1.%mol,-1.7299405818748035,0.07906478523167115,-1.758382509669208
PC.16.0_20.3...B.%mol,-1.7314563900199609,0.16411095112034702,-1.3926553617319917
SM.40.3...B.%mol,-1.770768300856334,5.264627762925233e-05,-4.06558719839684
CER.D18.1.24.0.%mol,-2.113210542140031,0.8399677251818297,-0.20200045254686863
DEDE.20.4.%mol,-2.1500043751176747,0.00018343759331384044,-3.758398182860372
CER.D19.1.23.0.%mol,-2.1728011200307265,0.16592719717453175,-1.3866748821757109
LPC.O.20.0.%mol,-2.1956694747639816,0.046742127548967824,-1.9917130965805494
TG.53.2...SIM.%mol,-2.3511201946133458,0.22779311445828043,-1.2069890668686882
LPC.O.20.1.%mol,-2.4028589618161504,0.0005807845049584804,-3.4542840587110932
CE.20.0.%mol,-2.441649021330715,0.21687014177113714,-1.235868681273762
TG.48.2...NL.16.1.%mol,-2.450205204921428,0.21262419093748555,-1.2473773591225594
SM.38.3...B.%mol,-2.4903641944632504,0.003133111416495472,-2.9633737950798404
TG.50.2...SIM.%mol,-2.5087429598449535,0.13484988954962845,-1.4967609027467041
GM3.D18.1.24.0.%mol,-2.523260214086264,0.1558671897170383,-1.420447023057847
LPE.20.4...SN2.%mol,-2.53506896674201,0.06911339649279644,-1.820125795948374
PC.O.40.5.%mol,-2.544020851649691,0.023721244096192574,-2.2659439755713304
