Lipids,Regions,p_value,FoldChange,r
PS,rh_caudalanteriorcingulate_volume,0.7933365711875244,0.5938681806848513,0.0066725548385475975
PG,rh_caudalanteriorcingulate_volume,0.08457494626388438,0.19456764042369357,0.04390778343158756
CE,rh_caudalanteriorcingulate_volume,0.38201014280969525,1598.7377592817,-0.022263040248556017
COH,rh_caudalanteriorcingulate_volume,0.6970682441607202,-3.346312447575152,0.009914728499191429
DE,rh_caudalanteriorcingulate_volume,0.07259895646637868,10.615327108471654,-0.0457034334333474
DEDE,rh_caudalanteriorcingulate_volume,0.01638332241125682,0.35713872162665866,-0.06107750183221992
METHYL,rh_caudalanteriorcingulate_volume,0.0008972967920738533,61.413030606548226,0.08443195851128683
DIMETHYL,rh_caudalanteriorcingulate_volume,0.0013776474076041558,23.015545396529863,0.0813507896471601
FA,rh_caudalanteriorcingulate_volume,0.048448990909541564,-362.4123714542429,0.05023091198205032
AC,rh_caudalanteriorcingulate_volume,0.6202409559860224,-1.589814031709538,-0.012620087639845177
CA,rh_caudalanteriorcingulate_volume,0.13627417104769848,-0.04819680131868005,0.03793174501795086
DXCA,rh_caudalanteriorcingulate_volume,0.17717366100241183,-0.026070810776798688,0.03436177684679524
DG,rh_caudalanteriorcingulate_volume,0.7879458094864639,-509.2022640648728,0.006850804474045083
TG,rh_caudalanteriorcingulate_volume,0.32330475946360887,-1487.684000996017,-0.025152428995351354
UBIQUINONE,rh_caudalanteriorcingulate_volume,0.031149513848303317,108.78251532346877,-0.05485044464075875
SPH,rh_caudalmiddlefrontal_volume,4.7194479258185827e-07,0.06281312711102895,0.1277756528673183
S1P,rh_caudalmiddlefrontal_volume,0.09149857231985557,-0.1015849196229349,0.04296185927427296
DHCER,rh_caudalmiddlefrontal_volume,0.00011433840358418833,0.31368608834754036,0.0980252942359424
CER,rh_caudalmiddlefrontal_volume,0.05661204904804404,5.352767623573425,0.048524629601967184
CER1P,rh_caudalmiddlefrontal_volume,0.663654326960306,-0.012009021286457429,-0.011075867260426817
HEXCER,rh_caudalmiddlefrontal_volume,0.9719226862048064,1.1612113807457694,-0.000896464905948919
HEX2CER,rh_caudalmiddlefrontal_volume,0.6647357734696588,1.657486535733934,-0.011037937625241507
HEX3CER,rh_caudalmiddlefrontal_volume,0.20400211650687258,0.7379890073520833,-0.03234428263674189
GM3,rh_caudalmiddlefrontal_volume,9.441134997174462e-08,-0.2525320761710316,-0.13531173762664703
GM1,rh_caudalmiddlefrontal_volume,0.061748747159590264,0.05452192021590568,-0.04755339801041794
SULFATIDE,rh_caudalmiddlefrontal_volume,0.42710333229429454,0.2904598576364262,0.0202251072214033
SM,rh_caudalmiddlefrontal_volume,0.05861868183307853,216.9759163036986,0.04813684877032694
PA,rh_caudalmiddlefrontal_volume,0.00012151260917171313,0.01405645064819537,0.09764843112417558
PC,rh_caudalmiddlefrontal_volume,0.12462401704543187,-691.3722768253522,0.03909800911873903
LPC,rh_caudalmiddlefrontal_volume,0.6760338607958155,-289.15142047529184,0.010643119160817017
PE,rh_caudalmiddlefrontal_volume,0.8061263956823176,-26.174332612853178,-0.00625093547852366
LPE,rh_caudalmiddlefrontal_volume,0.6076102813008595,-7.61574724820847,-0.01307794823471765
PI,rh_caudalmiddlefrontal_volume,0.0017977755192280164,-42.122794976588715,0.07938541502018914
PIP1,rh_caudalmiddlefrontal_volume,3.292019158022203e-05,-0.0007541307184338716,0.10546294592894043
LPI,rh_caudalmiddlefrontal_volume,0.7952807423688544,-0.47355277558048925,0.006608349821626764
PS,rh_caudalmiddlefrontal_volume,0.9404891245891577,-0.07113861219238396,-0.0019014607890113137
PG,rh_caudalmiddlefrontal_volume,0.2186348597625477,-0.03548622519513467,0.031324593421145186
CE,rh_caudalmiddlefrontal_volume,0.6863568867702723,148.54012176228383,0.010284597712768946
COH,rh_caudalmiddlefrontal_volume,0.9118669477468593,38.19525818998036,-0.002819110762543246
DE,rh_caudalmiddlefrontal_volume,0.9002984625470328,5.582918789896006,-0.003190978295369244
DEDE,rh_caudalmiddlefrontal_volume,0.0093961145499459,-0.011185970649175803,-0.06608068486447932
METHYL,rh_caudalmiddlefrontal_volume,0.10426581223924523,1.925218942618603,0.04135864009119171
DIMETHYL,rh_caudalmiddlefrontal_volume,0.09571956905954047,1.7922730205252364,0.04241306902447935
FA,rh_caudalmiddlefrontal_volume,0.2006159754551956,-1252.7415995954768,0.03258775911076213
AC,rh_caudalmiddlefrontal_volume,0.011030845739297275,-0.3318306410936679,-0.0646697322057602
CA,rh_caudalmiddlefrontal_volume,0.6934030016103268,0.010619201901183836,0.010041052503434489
DXCA,rh_caudalmiddlefrontal_volume,0.8844274099975041,0.005196256151536567,0.003702275672805765
DG,rh_caudalmiddlefrontal_volume,0.569226799844474,184.45629261645504,-0.014496498757780427
TG,rh_caudalmiddlefrontal_volume,0.11507788359958575,1390.576825685965,-0.04011874069363703
UBIQUINONE,rh_caudalmiddlefrontal_volume,2.793996910144359e-05,29.024665396058275,-0.10640683205919597
SPH,rh_cuneus_volume,1.281247644958e-07,0.01694963238124723,0.13391349224397792
S1P,rh_cuneus_volume,0.5659377706513999,0.0727981031233284,0.014620104669958094
DHCER,rh_cuneus_volume,3.2365874163672696e-09,-0.03760586632754907,0.14990722484319435
CER,rh_cuneus_volume,0.07849077707063368,-1.0061747290263623,0.04479217451086682
CER1P,rh_cuneus_volume,0.015210496532281325,-0.00012516396520009365,-0.06176490997420409
HEXCER,rh_cuneus_volume,0.6562214970819473,-0.2967308494910579,-0.011337229943429885
HEX2CER,rh_cuneus_volume,0.38271254231634516,-0.088445586861055,-0.022230214442987534
HEX3CER,rh_cuneus_volume,1.1186041667028768e-05,0.04837268176064812,-0.11153712017274621
GM3,rh_cuneus_volume,3.249111485239793e-10,-0.13704468670095657,-0.1590935625442733
GM1,rh_cuneus_volume,0.8471047591632322,-0.006406853991492008,0.004910930902499422
SULFATIDE,rh_cuneus_volume,0.3717608142302039,-0.06331578302655216,-0.022746312337655283
SM,rh_cuneus_volume,0.6829921829514863,-20.110109044968475,-0.010401227820970811
PA,rh_cuneus_volume,0.000389541784436463,0.0002607022868547197,0.09015966785789344
PC,rh_cuneus_volume,0.582661911184607,-6.47884286839782,0.013995073213363326
LPC,rh_cuneus_volume,0.7362040254651916,7.798468035915175,0.008580274169189125
