Lipids,Regions,p_value,FoldChange,r
PG,rh_caudalanteriorcingulate_volume,0.6346248490738012,-0.044907191389438564,0.02380266923650805
CE,rh_caudalanteriorcingulate_volume,0.8518380745162003,383.91054712337717,-0.009356035563408074
COH,rh_caudalanteriorcingulate_volume,0.3998508331588409,2.752293745059677,-0.04215476701912354
DE,rh_caudalanteriorcingulate_volume,0.10617711437345079,8.439776453912646,0.08080034056316118
DEDE,rh_caudalanteriorcingulate_volume,0.7796966244771679,0.07163845524663712,-0.014011324143303245
METHYL,rh_caudalanteriorcingulate_volume,0.24118547419743705,-1.7406881530369616,-0.05866103726899882
DIMETHYL,rh_caudalanteriorcingulate_volume,0.25388816955536975,-0.5461880631523433,-0.057108396539732896
FA,rh_caudalanteriorcingulate_volume,0.9153949267142687,-50.08621684224137,-0.005321759431006778
AC,rh_caudalanteriorcingulate_volume,0.9827715318133469,0.2712762190973498,0.0010817474870495278
CA,rh_caudalanteriorcingulate_volume,0.032832741029266616,0.003211488876543206,0.10660193182473113
DXCA,rh_caudalanteriorcingulate_volume,0.010759068673090398,-0.0005047657912587286,0.1272414389403328
DG,rh_caudalanteriorcingulate_volume,0.925649992040497,-104.37600290079094,-0.004674705166610862
TG,rh_caudalanteriorcingulate_volume,0.803325994730418,-303.9713364863215,0.012475171990244723
UBIQUINONE,rh_caudalanteriorcingulate_volume,0.13393572944130638,4.825494918086569,-0.0749732096195711
SPH,rh_caudalmiddlefrontal_volume,0.09774394926862762,-0.0014843246962736637,0.0828076667247043
S1P,rh_caudalmiddlefrontal_volume,0.18601087379158718,-0.007126856821532126,0.06617529279546432
DHCER,rh_caudalmiddlefrontal_volume,0.08493377376386706,-0.004190761267292866,0.08613895625777973
CER,rh_caudalmiddlefrontal_volume,0.009894345022301503,1.0213655445113372,0.12867983032399455
CER1P,rh_caudalmiddlefrontal_volume,0.8164260483554923,0.00035098336845147736,0.01162863501115257
HEXCER,rh_caudalmiddlefrontal_volume,0.007763362238355609,0.13664124437164799,0.13276894623168442
HEX2CER,rh_caudalmiddlefrontal_volume,0.10033640663829432,0.005361167362304488,0.0821764277643012
HEX3CER,rh_caudalmiddlefrontal_volume,0.15755656241837976,0.05622084181531953,0.07071106435664973
GM3,rh_caudalmiddlefrontal_volume,0.6165530263620113,-0.09971334784079898,0.025080198448713006
GM1,rh_caudalmiddlefrontal_volume,0.6135492264085483,-0.004116818082776682,0.025294104752717705
SULFATIDE,rh_caudalmiddlefrontal_volume,0.23074053840606384,0.13819053282755153,-0.05998125430021444
SM,rh_caudalmiddlefrontal_volume,0.22368725588329083,24.42110233521315,0.0608968764222561
PA,rh_caudalmiddlefrontal_volume,0.9962065567176357,0.0007571650998067334,-0.00023816658517621103
PC,rh_caudalmiddlefrontal_volume,0.09299332408262433,1.578808413855861,-0.08399986623375569
LPC,rh_caudalmiddlefrontal_volume,0.20867823777889766,-9.188338368019966,-0.06291617389768024
PE,rh_caudalmiddlefrontal_volume,0.1664976919036715,2.296089148970134,0.06922415322532977
LPE,rh_caudalmiddlefrontal_volume,0.6423343287104788,-0.5013661833093114,-0.02326238104621599
PI,rh_caudalmiddlefrontal_volume,0.003116605170182964,0.04865043401724535,-0.14726948287559244
PIP1,rh_caudalmiddlefrontal_volume,0.665352941274986,0.0014140416830252058,-0.02166484051750855
LPI,rh_caudalmiddlefrontal_volume,0.0236569590437833,0.0009588737443721962,-0.11298228707072981
PS,rh_caudalmiddlefrontal_volume,0.6013210752107168,-0.0410138783604149,0.026169713356104008
PG,rh_caudalmiddlefrontal_volume,0.3536564102418959,-0.004153606577970686,-0.046438131084557834
CE,rh_caudalmiddlefrontal_volume,0.5440954844797501,6.258047086156415,-0.030381579836852163
COH,rh_caudalmiddlefrontal_volume,0.8164511201920233,8.041314811571175,-0.011627018091887847
DE,rh_caudalmiddlefrontal_volume,0.009031867843477637,0.5282335839111121,0.1302302606361959
DEDE,rh_caudalmiddlefrontal_volume,0.0031163988714133796,0.0009139509178375488,0.14727048893060973
METHYL,rh_caudalmiddlefrontal_volume,0.46339823626107335,0.6497243792608067,-0.0367196673145553
DIMETHYL,rh_caudalmiddlefrontal_volume,0.3361101507144881,0.22796984426696235,-0.048156425156841445
FA,rh_caudalmiddlefrontal_volume,0.02358515026382847,-37.425968774527135,0.11304011204242477
AC,rh_caudalmiddlefrontal_volume,0.06519030007691447,-0.031465079940393124,0.09217413851153482
CA,rh_caudalmiddlefrontal_volume,0.8102788479435864,-0.0019204977575824186,-0.012025445818527117
DXCA,rh_caudalmiddlefrontal_volume,0.2870061903314733,-0.0008868805192481261,0.053297770686845006
DG,rh_caudalmiddlefrontal_volume,0.6406612338776704,-9.26060013626674,-0.023379402132133433
TG,rh_caudalmiddlefrontal_volume,0.723608337951856,3.361841080829141,-0.017713873969459955
UBIQUINONE,rh_caudalmiddlefrontal_volume,0.879491095864667,0.48091138649663223,-0.0075948600996014965
SPH,rh_cuneus_volume,0.07701973324522696,-0.0040832331857967655,0.08840501941268836
S1P,rh_cuneus_volume,0.331848055212303,-0.008221101579251239,0.04858241201588902
DHCER,rh_cuneus_volume,0.01142208577656274,-0.01818441502400251,0.12620637938948706
CER,rh_cuneus_volume,0.1232176104328849,2.227681304216167,0.07710029103000055
CER1P,rh_cuneus_volume,0.9936029243317255,-0.0001995598305006869,-0.000401635162831863
HEXCER,rh_cuneus_volume,6.846509024853037e-05,0.26442726908176784,0.19748446204114048
HEX2CER,rh_cuneus_volume,0.0026307555101805734,0.32200454012193436,0.14982544141386916
HEX3CER,rh_cuneus_volume,0.834008526396864,0.005688547756842699,0.01049757354222032
GM3,rh_cuneus_volume,0.13225333931863292,0.10955984991862866,-0.07529816474447118
GM1,rh_cuneus_volume,0.024993074112387346,0.0029233760096183847,0.11193310151716818
SULFATIDE,rh_cuneus_volume,0.046633373988217694,-0.6089719836884732,-0.09942070185677043
SM,rh_cuneus_volume,0.13657333383270237,28.168938083468674,0.07447002706388023
PA,rh_cuneus_volume,0.9701162805567979,-0.012773769914111947,0.0018766420668846569
PC,rh_cuneus_volume,0.0043770524248824385,-115.40137275743697,-0.14202491713163967
LPC,rh_cuneus_volume,0.02358075186901724,-17.33042715947232,-0.11304365885238023
PE,rh_cuneus_volume,0.27477240181396767,-27.439047010350702,0.054668639342523265
LPE,rh_cuneus_volume,0.25209719547095005,-0.9601962184139717,-0.05732397950047177
PI,rh_cuneus_volume,0.6930843561237676,-9.055271128760419,-0.01976880648383423
PIP1,rh_cuneus_volume,0.12039034341307168,0.0012747235767901531,0.07768523354843301
LPI,rh_cuneus_volume,0.5431485851871659,-0.28445397678518386,-0.030453020672403967
PS,rh_cuneus_volume,0.018868243428707448,0.05370062510253648,0.11722111877489938
PG,rh_cuneus_volume,0.7683360813770006,-0.03474783523813146,-0.014754486576862794
CE,rh_cuneus_volume,0.9066112302409074,120.17508836746076,-0.005876676217439364
COH,rh_cuneus_volume,0.34665162398857263,5.103746983560314,-0.04711746536883451
DE,rh_cuneus_volume,0.03212789537983593,1.5343590128593467,0.1070336697733201
DEDE,rh_cuneus_volume,0.004925962341130853,0.035398730531715814,0.14016016787705327
METHYL,rh_cuneus_volume,0.5916139217203724,-3.901247299809096,-0.02687051077540862
DIMETHYL,rh_cuneus_volume,0.5129341766448454,-1.5448527070094873,-0.03276648337256678
FA,rh_cuneus_volume,0.06768178155549141,-194.14425588439707,0.09133632710934018
AC,rh_cuneus_volume,0.8784204099253722,-0.23759277110956437,0.007662862636621575
CA,rh_cuneus_volume,0.32671110400588305,-0.003872307771870075,0.04910054813036515
DXCA,rh_cuneus_volume,0.8245535219757357,-0.00312170576157454,0.011105104185326248
DG,rh_cuneus_volume,0.9797396370675622,-150.15472754419773,-0.0012721529484488359
TG,rh_cuneus_volume,0.6259382352460428,341.0819304455011,-0.024414764671298418
UBIQUINONE,rh_cuneus_volume,0.9505941186798124,-0.3432244661083131,-0.003103852135358414
SPH,rh_entorhinal_volume,0.9324640597522355,0.00816609857073927,0.004245200240398388
S1P,rh_entorhinal_volume,0.5113881187223082,-0.0938409075405416,0.03288671463979264
DHCER,rh_entorhinal_volume,0.6896623631463865,-0.005851160687254422,0.0200011975143495
CER,rh_entorhinal_volume,0.8566581473474559,0.9863938007568127,-0.0090482840500211
CER1P,rh_entorhinal_volume,0.052226786206666244,-0.0007912206484577677,0.09701595264358585
HEXCER,rh_entorhinal_volume,0.2558552711640713,0.4060742618182436,0.05687282450942544
HEX2CER,rh_entorhinal_volume,0.46718058218010683,0.24114387954004787,-0.03640996643507135
HEX3CER,rh_entorhinal_volume,0.05549502976774457,-0.13828874345510986,0.09570869077401764
GM3,rh_entorhinal_volume,0.35618433521019616,-0.1834342595928068,0.04619505455050609
GM1,rh_entorhinal_volume,0.32475406485798525,0.010785464509040995,0.0492993290957007
SULFATIDE,rh_entorhinal_volume,0.12851379946187969,0.1750117580845581,0.07603205780803704
SM,rh_entorhinal_volume,0.2557518772007167,-35.7958512522477,0.056885175251446846
PA,rh_entorhinal_volume,0.011578030668238364,-0.01005776379352995,0.12597066856222267
PC,rh_entorhinal_volume,0.05157423471039907,-13.022919172744707,0.09728508640257073
LPC,rh_entorhinal_volume,0.03341152564078023,-11.994242647589658,0.10625328209646898
PE,rh_entorhinal_volume,0.5850130247859302,24.968087367696427,0.027350059463345244
LPE,rh_entorhinal_volume,0.01775084053922664,2.6284036512857134,0.11834396157065225
PI,rh_entorhinal_volume,0.009440845778048884,5.183362563214911,0.12947937994229855
PIP1,rh_entorhinal_volume,0.8406132818589679,-0.001339176824339137,0.010074101561805816
LPI,rh_entorhinal_volume,0.00255193046806873,0.7243774034706583,0.15028013236801685
PS,rh_entorhinal_volume,0.43990894722137835,-0.0730534807636678,0.038675468220656574
PG,rh_entorhinal_volume,0.29825561601833933,0.03235988831393032,-0.0520714867621303
CE,rh_entorhinal_volume,0.09619757551983346,-296.0309375985572,0.08319056527243851
COH,rh_entorhinal_volume,0.612925021114287,-50.72031135407678,0.02533861322512647
DE,rh_entorhinal_volume,0.0027950867206608483,-1.9607847820012363,0.14891609878460865
DEDE,rh_entorhinal_volume,0.058001444159139645,0.011977969619988291,0.094748802081523
METHYL,rh_entorhinal_volume,0.0008314362478160748,-4.803988778619204,0.16625313573969888
DIMETHYL,rh_entorhinal_volume,0.00013250509763491103,-2.089022588776359,0.18970573220009557
FA,rh_entorhinal_volume,0.20159271611739252,-80.76397627501592,0.06390597773232902
AC,rh_entorhinal_volume,0.2764329427676385,-0.09269490469120592,0.05448017221953755
CA,rh_entorhinal_volume,0.043241189800786714,0.0035710482161151495,0.10099957835986426
DXCA,rh_entorhinal_volume,0.09841987981140513,0.004244862479058494,0.08264181277770487
DG,rh_entorhinal_volume,0.04912900891054758,122.10877016025358,-0.09831954079778525
TG,rh_entorhinal_volume,0.011244045718563344,325.80548859189884,-0.12647899192263337
UBIQUINONE,rh_entorhinal_volume,0.7176894562165995,0.8022730074959494,0.018109923181707906
SPH,rh_fusiform_volume,0.056087402602025986,0.012123107372649052,0.09547863258034811
S1P,rh_fusiform_volume,0.6360249632988794,0.006440286779153207,-0.023704344315231773
DHCER,rh_fusiform_volume,0.32357509485458463,-0.09029266156426269,0.04941945485086464
CER,rh_fusiform_volume,0.9743565305231101,0.6744659016384555,0.0016102632950849064
CER1P,rh_fusiform_volume,0.6225118685714438,-0.0004000319038455255,-0.02465719866779738
HEXCER,rh_fusiform_volume,0.1079756253518778,-0.08300731215215341,0.0803886777584282
HEX2CER,rh_fusiform_volume,0.25343814177660656,-0.0011545678413240916,-0.057162467719636914
HEX3CER,rh_fusiform_volume,0.2895552028145195,-0.31660070386264716,-0.053017123982211325
GM3,rh_fusiform_volume,0.053171652373708016,-0.3582936193361257,-0.0966311810741585
GM1,rh_fusiform_volume,0.5424508042606808,-0.0008149349786366881,0.03050570578758362
SULFATIDE,rh_fusiform_volume,0.9430321238991773,-0.2892927693618884,0.003579676103816389
SM,rh_fusiform_volume,0.02930699568257615,-46.971596489994674,-0.10884690933142532
PA,rh_fusiform_volume,0.040852768156376555,0.003218732169692977,0.10217503626593641
PC,rh_fusiform_volume,0.3306319211132426,-0.9062432286243263,-0.04870460663829394
LPC,rh_fusiform_volume,0.42947009889438265,13.917086717372671,0.03956370422401829
PE,rh_fusiform_volume,0.24182950687257934,5.664117304877966,0.05858096007987973
LPE,rh_fusiform_volume,0.4620113618302476,0.513227141776673,0.0368335765693121
PI,rh_fusiform_volume,0.926203737994969,2.0895497508606957,0.004639789041937617
PIP1,rh_fusiform_volume,0.08093415837034071,0.0003772897144758787,0.08726177832308114
LPI,rh_fusiform_volume,0.4693154150346128,-0.333650570572218,0.03623577669363303
PS,rh_fusiform_volume,0.1711637833062618,-0.012074315873536872,0.0684718478300144
PG,rh_fusiform_volume,0.7910236774184606,0.003777577387039159,0.013273399404139507
CE,rh_fusiform_volume,0.554232216822004,-95.8060364431866,-0.029620599296504697
COH,rh_fusiform_volume,0.5250634525654975,-27.016865583548242,-0.031829655612923426
DE,rh_fusiform_volume,0.11586840406852603,-0.5252046840831882,0.07864347554783661
DEDE,rh_fusiform_volume,0.8756794838328513,-0.004420479931314129,-0.007837011662449581
METHYL,rh_fusiform_volume,0.4810288393014569,-4.758841909383389,0.035287676919525515
DIMETHYL,rh_fusiform_volume,0.2478033827186958,-1.3466949631603582,0.05784520511428813
FA,rh_fusiform_volume,0.05283687748276621,120.22983426864023,0.09676685319576132
AC,rh_fusiform_volume,0.48646246844392665,0.0637613705450626,0.034852137004855115
CA,rh_fusiform_volume,0.062027633006592066,0.004793614443557691,0.0932764194702063
DXCA,rh_fusiform_volume,0.015145556678279165,-0.0007286670007328864,0.12122326628083924
DG,rh_fusiform_volume,0.637016882111919,27.46126420702487,0.0236347405422439
TG,rh_fusiform_volume,0.9766296663983652,16.703169325791716,0.001467480691241506
UBIQUINONE,rh_fusiform_volume,0.8835311633858292,-0.9342144487858355,-0.007338387525545367
SPH,rh_inferiorparietal_volume,0.10199211500908058,0.004426258405429902,0.08178002725396231
S1P,rh_inferiorparietal_volume,0.2869582006800287,0.04277229898898705,0.05330307038954347
DHCER,rh_inferiorparietal_volume,0.3943119352293041,0.011277777103249636,0.042651832306957405
CER,rh_inferiorparietal_volume,0.5191068205174607,-0.6998305861522082,0.03228832000463833
CER1P,rh_inferiorparietal_volume,0.7049519028302521,0.000745084459860035,-0.018966107262317247
HEXCER,rh_inferiorparietal_volume,0.8138032540198396,0.11133201806815438,0.011797849877315844
HEX2CER,rh_inferiorparietal_volume,0.04924763802346557,0.12981743410178986,-0.09826837292756695
HEX3CER,rh_inferiorparietal_volume,0.32973024686957475,0.17511789338853465,0.048795392142449705
GM3,rh_inferiorparietal_volume,0.13073359662839515,-0.05624105373046572,-0.07559445828606616
GM1,rh_inferiorparietal_volume,0.4303317793723976,0.002321438370105511,-0.03948991634436026
SULFATIDE,rh_inferiorparietal_volume,0.9022001090444304,0.015631494553189886,0.006155619172836859
SM,rh_inferiorparietal_volume,0.36078646347527726,15.387027041954358,-0.04575529474035462
PA,rh_inferiorparietal_volume,0.04204965066864924,0.005982085468549063,0.1015789555196129
PC,rh_inferiorparietal_volume,0.4336706526256528,-15.11521443278423,0.03920480346187926
LPC,rh_inferiorparietal_volume,0.6059083279381002,-12.514505821984349,-0.025840318137131148
PE,rh_inferiorparietal_volume,0.0013919350754214796,0.8458289982438241,0.1590953620118203
LPE,rh_inferiorparietal_volume,0.37591997290228324,-0.24285082922271883,0.04433335891905782
PI,rh_inferiorparietal_volume,0.8235992289836541,-8.298772003594001,0.011166511242908869
PIP1,rh_inferiorparietal_volume,0.9638121878271292,0.0004497135897557003,0.002272774495273495
LPI,rh_inferiorparietal_volume,0.5969519672480833,-0.016891955749854734,-0.026484496465226822
PS,rh_inferiorparietal_volume,0.42489988448931054,0.047962334801374344,0.039956505472823374
PG,rh_inferiorparietal_volume,0.4717401692567322,-0.018193235426415936,0.03603845964934685
CE,rh_inferiorparietal_volume,0.23886002217413776,70.48759073974395,-0.05895143267804476
COH,rh_inferiorparietal_volume,0.5188374986457939,21.512509400820733,-0.03230912158944799
DE,rh_inferiorparietal_volume,0.929586809326577,0.5021676863409468,0.004426519605651366
