Regions1,Regions2,p_value,FoldChange,r
lh_postcentral_volume,rh_caudalanteriorcingulate_volume,0.008940983585019652,2.294983433513141,0.1304012220340192
lh_posteriorcingulate_volume,rh_caudalanteriorcingulate_volume,2.225024530695277e-18,1.5660779728812484,0.417878777272811
lh_precentral_volume,rh_caudalanteriorcingulate_volume,0.00027128384650611183,2.950315334189628,0.1808992542458939
lh_precuneus_volume,rh_caudalanteriorcingulate_volume,0.0012008795072936333,4.0768677836822595,0.1611760144236181
lh_rostralanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,2.7960644415985576e-11,0.9527155609787784,0.32441083413517097
lh_rostralmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,5.11020240216082e-09,5.306218301798547,0.2865648748985591
lh_superiorfrontal_volume,rh_caudalanteriorcingulate_volume,4.3539667275064865e-08,12.66043158955571,0.26922652142382064
lh_superiorparietal_volume,rh_caudalanteriorcingulate_volume,0.03504684493360119,4.512511201559756,0.10529527822945291
lh_superiortemporal_volume,rh_caudalanteriorcingulate_volume,0.00016337258583507347,1.390766297244443,0.18717322504028636
lh_supramarginal_volume,rh_caudalanteriorcingulate_volume,0.006208515100040135,8.248595325043395,0.13644359693783845
lh_transversetemporal_volume,rh_caudalanteriorcingulate_volume,0.003995553929094125,0.01071969477611853,0.14344972339115752
lh_insula_volume,rh_caudalanteriorcingulate_volume,0.0013555327807935758,0.6159151061659857,0.15947064987333395
Left-Cerebellum-White-Matter,rh_caudalanteriorcingulate_volume,0.17796861929213575,7.0152050425406784,-0.06740166117007089
Left-Cerebellum-Cortex,rh_caudalanteriorcingulate_volume,0.6997081020963517,8.861052290600082,0.019320177906453375
Left-Thalamus-Proper,rh_caudalanteriorcingulate_volume,0.7477804178274218,-0.21905070180944944,0.016107552238780957
Left-Caudate,rh_caudalanteriorcingulate_volume,0.009195434725563386,-0.6278514789120776,-0.1299263955734761
Left-Putamen,rh_caudalanteriorcingulate_volume,0.021230207449096143,0.8381702752082195,0.11502650171520647
Left-Pallidum,rh_caudalanteriorcingulate_volume,0.9247017116053582,0.11511558089669054,0.0047345036951303215
Brain-Stem,rh_caudalanteriorcingulate_volume,0.22387269401497642,2.0335457950219,-0.060872542900832244
Left-Hippocampus,rh_caudalanteriorcingulate_volume,3.837917761858971e-05,1.2635488043578054,0.20406412770089247
Left-Amygdala,rh_caudalanteriorcingulate_volume,0.03421944203094864,0.4428045704281883,0.10577511629408463
Left-Accumbens-area,rh_caudalanteriorcingulate_volume,0.17901954957000063,0.4154095316401872,0.06723910536676234
Left-VentralDC,rh_caudalanteriorcingulate_volume,0.17528191192370046,1.7656411427117442,0.06782049806576033
Right-Cerebellum-White-Matter,rh_caudalanteriorcingulate_volume,0.313062878711666,3.821076636438454,-0.05050336955861973
Right-Cerebellum-Cortex,rh_caudalanteriorcingulate_volume,0.31018954213554023,9.97516203928684,0.05080377381389526
Right-Thalamus-Proper,rh_caudalanteriorcingulate_volume,0.005923327643681392,1.1106848448208253,0.13720591684559308
Right-Caudate,rh_caudalanteriorcingulate_volume,0.09714598373795803,-0.7701120944471904,-0.08295515316766489
Right-Putamen,rh_caudalanteriorcingulate_volume,1.305742155503574e-06,0.7900428502545415,0.2388805535055901
Right-Pallidum,rh_caudalanteriorcingulate_volume,0.9244751021194665,0.2397868497061086,0.004748794672654437
Right-Hippocampus,rh_caudalanteriorcingulate_volume,2.7866868881211703e-07,2.3574635156070682,0.2531457886701718
Right-Amygdala,rh_caudalanteriorcingulate_volume,0.00011169410427639452,0.5861467591945136,0.1917479953017757
Right-Accumbens-area,rh_caudalanteriorcingulate_volume,0.0003814011570488228,0.28954223399723206,0.1765652562120136
Right-VentralDC,rh_caudalanteriorcingulate_volume,0.40791815786306246,1.3176270412124749,0.04143811644869094
WM-hypointensities,rh_caudalanteriorcingulate_volume,0.0003588135430150937,-13.433245746220145,-0.1773492648406674
CC_Posterior,rh_caudalanteriorcingulate_volume,0.8956745089657093,-0.2616627039697157,0.006568625514698452
CC_Mid_Posterior,rh_caudalanteriorcingulate_volume,0.003248036853586373,-0.0019709475557779794,-0.14664050349340974
CC_Central,rh_caudalanteriorcingulate_volume,0.06786719207133009,0.16308672051122572,-0.09127499609444223
CC_Mid_Anterior,rh_caudalanteriorcingulate_volume,0.8543290853206846,0.22939190600842777,-0.009196946565728599
CC_Anterior,rh_caudalanteriorcingulate_volume,0.9491399031402886,0.3699813703500553,-0.003195332865485048
rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,5.22454192251928e-11,-0.3080317526847101,0.32014241517857817
rh_caudalmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,0.0,1.0,0.9999999999999999
rh_cuneus_volume,rh_caudalmiddlefrontal_volume,1.740422414019997e-08,0.021601489388514312,0.276794982241784
rh_entorhinal_volume,rh_caudalmiddlefrontal_volume,0.27506059482866163,0.08742013007626481,-0.05463587475107116
rh_fusiform_volume,rh_caudalmiddlefrontal_volume,1.3888629003286569e-06,1.1185841763865678,0.23829182035991742
rh_inferiorparietal_volume,rh_caudalmiddlefrontal_volume,2.4550454171172523e-22,0.6063877071223593,0.45946405966177095
rh_inferiortemporal_volume,rh_caudalmiddlefrontal_volume,3.0085467047801988e-05,0.03880211828265871,0.2067699157588147
rh_isthmuscingulate_volume,rh_caudalmiddlefrontal_volume,1.8513697534611317e-19,0.30429588686047365,0.42980667350734864
rh_lateraloccipital_volume,rh_caudalmiddlefrontal_volume,4.256599615097737e-10,2.328401022712145,0.3053033447717132
rh_lateralorbitofrontal_volume,rh_caudalmiddlefrontal_volume,0.00015780226900641295,0.684552324586842,0.18759503285422527
rh_lingual_volume,rh_caudalmiddlefrontal_volume,4.710486535534454e-07,1.2285105699310122,0.24839481096397886
rh_medialorbitofrontal_volume,rh_caudalmiddlefrontal_volume,9.209817906481156e-06,0.7383497216271063,0.21944993861430917
rh_middletemporal_volume,rh_caudalmiddlefrontal_volume,8.427547350710346e-14,1.0003055051533525,0.3611797219995383
rh_parahippocampal_volume,rh_caudalmiddlefrontal_volume,0.34888598951710126,0.36983733383714523,0.046899838230419086
rh_paracentral_volume,rh_caudalmiddlefrontal_volume,6.321695575268372e-12,0.3219877326103022,0.33430201678168014
rh_parsopercularis_volume,rh_caudalmiddlefrontal_volume,2.5706747990383835e-17,0.44305313848922356,0.4056568147233106
rh_parsorbitalis_volume,rh_caudalmiddlefrontal_volume,0.006869984476735802,-0.3117762959552193,0.13478971045389204
rh_parstriangularis_volume,rh_caudalmiddlefrontal_volume,2.2098577712951674e-08,0.1926116892227853,0.27484609783761726
rh_pericalcarine_volume,rh_caudalmiddlefrontal_volume,1.2891139494999594e-05,0.09123832454498473,0.21592429311477684
rh_postcentral_volume,rh_caudalmiddlefrontal_volume,2.9737685549090447e-22,2.0311745460186215,0.45864557856791305
rh_posteriorcingulate_volume,rh_caudalmiddlefrontal_volume,2.0005409511476357e-07,0.17779854977714415,0.2560969756461864
rh_precentral_volume,rh_caudalmiddlefrontal_volume,2.5954481407855297e-33,1.6142563912035608,0.5516778338092406
rh_precuneus_volume,rh_caudalmiddlefrontal_volume,5.296129361448051e-27,1.663407274268496,0.5021388327320092
rh_rostralanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,7.340029396461516e-09,-0.05587720763122452,0.2837171963157125
rh_rostralmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,9.156110260382967e-22,0.8257941095382926,0.4537986916852051
rh_superiorfrontal_volume,rh_caudalmiddlefrontal_volume,1.8113193230073034e-31,1.113249349159251,0.5380276345416424
rh_superiorparietal_volume,rh_caudalmiddlefrontal_volume,2.694747123489738e-13,1.724888840581979,0.35419224167324304
rh_superiortemporal_volume,rh_caudalmiddlefrontal_volume,1.9065611906060507e-06,0.4721525052449937,0.23524522310236923
rh_supramarginal_volume,rh_caudalmiddlefrontal_volume,4.2773539209097855e-16,1.674178019941674,0.39096217481539336
rh_transversetemporal_volume,rh_caudalmiddlefrontal_volume,6.890845414790461e-05,0.1291243612280596,0.19740986842891736
rh_insula_volume,rh_caudalmiddlefrontal_volume,0.005134316404892281,0.28781104805913965,0.13950114065737695
lh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,1.9474820738542143e-10,0.004467799173075791,0.3109316708333512
lh_caudalmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,2.9125557205583482e-52,0.07153951453483635,0.6637002246733393
lh_cuneus_volume,rh_caudalmiddlefrontal_volume,1.4736142869046548e-05,0.6917260204766146,0.2145055408641338
lh_entorhinal_volume,rh_caudalmiddlefrontal_volume,0.24773020000184073,-0.38537861495925974,-0.05785414307652033
lh_fusiform_volume,rh_caudalmiddlefrontal_volume,6.1792959714664e-06,0.30255612333732124,0.2235606371447002
lh_inferiorparietal_volume,rh_caudalmiddlefrontal_volume,1.4292001365451552e-20,-0.16755711523909647,0.44161915480308184
lh_inferiortemporal_volume,rh_caudalmiddlefrontal_volume,4.175941168792335e-06,-1.2670425860156913,0.2275232607636687
lh_isthmuscingulate_volume,rh_caudalmiddlefrontal_volume,1.3661385257804447e-10,-0.0183353424601848,0.31344495657708427
lh_lateraloccipital_volume,rh_caudalmiddlefrontal_volume,1.3537913405999064e-12,0.4340545602223522,0.3441933960663982
lh_lateralorbitofrontal_volume,rh_caudalmiddlefrontal_volume,1.9077312606107438e-07,0.3150390537140524,0.2565169674493836
lh_lingual_volume,rh_caudalmiddlefrontal_volume,1.1519348327082126e-07,0.6086948184515502,0.2609322848865436
lh_medialorbitofrontal_volume,rh_caudalmiddlefrontal_volume,8.274955473591474e-06,0.04893017294960469,0.2205601663008256
lh_middletemporal_volume,rh_caudalmiddlefrontal_volume,3.038552134514962e-14,0.9327591080096889,0.36717422013931017
lh_parahippocampal_volume,rh_caudalmiddlefrontal_volume,0.9830395919771949,0.4674151981076054,0.00106491387942882
lh_paracentral_volume,rh_caudalmiddlefrontal_volume,2.1636920165007344e-15,0.5779312112265489,0.3821444120505192
lh_parsopercularis_volume,rh_caudalmiddlefrontal_volume,1.3154119888159343e-23,0.2755983971181793,0.4716941352185571
lh_parsorbitalis_volume,rh_caudalmiddlefrontal_volume,4.0920101304565e-05,-0.17360616967768014,0.2033457495293833
lh_parstriangularis_volume,rh_caudalmiddlefrontal_volume,8.784308549691578e-12,0.027134466598629413,0.33214394234013833
lh_pericalcarine_volume,rh_caudalmiddlefrontal_volume,3.39527503004166e-05,0.2558364760145704,0.2054304378369524
lh_postcentral_volume,rh_caudalmiddlefrontal_volume,3.3865283797860996e-14,1.2531789507058537,0.36654301194844674
lh_posteriorcingulate_volume,rh_caudalmiddlefrontal_volume,1.5275973722159454e-07,0.14276899660559858,0.2584719353856457
lh_precentral_volume,rh_caudalmiddlefrontal_volume,1.4639369600470885e-29,0.2960773191396574,0.5232179282136822
lh_precuneus_volume,rh_caudalmiddlefrontal_volume,8.216073750239212e-20,0.7988731222031938,0.4336036494856297
lh_rostralanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,1.0443396894562673e-08,-0.01022263513126435,0.2809129236288514
lh_rostralmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,6.995421672040806e-24,-0.1898900685394143,0.474269760154106
lh_superiorfrontal_volume,rh_caudalmiddlefrontal_volume,4.013588615754262e-34,-0.02212205229723349,0.5574867299225622
lh_superiorparietal_volume,rh_caudalmiddlefrontal_volume,5.137591231033139e-10,1.0203094765290583,0.3039312402105996
lh_superiortemporal_volume,rh_caudalmiddlefrontal_volume,0.00017681399945539906,-0.6781341460117388,0.18620842504392987
lh_supramarginal_volume,rh_caudalmiddlefrontal_volume,2.1464567425488243e-09,1.5249445728029871,0.29326003601932554
lh_transversetemporal_volume,rh_caudalmiddlefrontal_volume,2.7369271868304356e-10,0.05956009659081198,0.30849688806696157
lh_insula_volume,rh_caudalmiddlefrontal_volume,0.0023810704379818902,-0.4461353481119105,0.15131136332422337
Left-Cerebellum-White-Matter,rh_caudalmiddlefrontal_volume,0.020666104644802216,-0.6827450358739815,0.1155305815040021
Left-Cerebellum-Cortex,rh_caudalmiddlefrontal_volume,0.020713469400162998,6.722912810536924,0.11548780009370273
Left-Thalamus-Proper,rh_caudalmiddlefrontal_volume,0.8051261070732872,-0.6631170286074715,0.012358641986634679
Left-Caudate,rh_caudalmiddlefrontal_volume,0.327980559567203,-0.4754562270390906,0.048972018434560206
Left-Putamen,rh_caudalmiddlefrontal_volume,0.004062182622171463,-1.1087261240300161,0.14319225599466182
Left-Pallidum,rh_caudalmiddlefrontal_volume,0.4946660098896086,-0.3834217247289802,0.034199499612129154
Brain-Stem,rh_caudalmiddlefrontal_volume,0.7221593088572563,-0.6723580339435341,0.017810729730558007
Left-Hippocampus,rh_caudalmiddlefrontal_volume,0.006509004475378994,0.09733212872252352,0.13567363241876712
Left-Amygdala,rh_caudalmiddlefrontal_volume,0.08508710142295396,-0.21511962759190165,0.08609676836922761
Left-Accumbens-area,rh_caudalmiddlefrontal_volume,0.03729845662496088,-0.0504356641332403,0.10403661220527569
Left-VentralDC,rh_caudalmiddlefrontal_volume,0.0020712492528551065,-0.2690975775417821,0.1533668277591305
Right-Cerebellum-White-Matter,rh_caudalmiddlefrontal_volume,0.013724113727127459,-0.7069696007278626,0.1229828953162551
Right-Cerebellum-Cortex,rh_caudalmiddlefrontal_volume,0.03148664725887182,4.876115141115266,0.10743353586467111
Right-Thalamus-Proper,rh_caudalmiddlefrontal_volume,0.11956615728700797,-0.38053405395787915,0.07785776630693983
Right-Caudate,rh_caudalmiddlefrontal_volume,0.36418032081527246,-0.5566645189355546,0.045433234511287744
Right-Putamen,rh_caudalmiddlefrontal_volume,0.00015271978800664512,-0.6593232053823574,0.18799226153731088
Right-Pallidum,rh_caudalmiddlefrontal_volume,0.40148401059474187,-0.03690220112638196,0.04200899377636558
Right-Hippocampus,rh_caudalmiddlefrontal_volume,0.0016031387972675905,0.32818119367856313,0.15708099080417945
Right-Amygdala,rh_caudalmiddlefrontal_volume,0.007155723195531183,0.051264275615245686,0.13411903935914946
Right-Accumbens-area,rh_caudalmiddlefrontal_volume,7.274202642372312e-06,-0.019789131699552553,0.2218896556192277
Right-VentralDC,rh_caudalmiddlefrontal_volume,0.001426812654982117,-0.3862610074235733,0.1587441574206402
WM-hypointensities,rh_caudalmiddlefrontal_volume,4.374462535036363e-06,-3.4627639243490704,-0.22705731963575868
CC_Posterior,rh_caudalmiddlefrontal_volume,0.2712840142853984,0.051997987881069525,0.05506710201319055
CC_Mid_Posterior,rh_caudalmiddlefrontal_volume,0.213360530571912,-0.05082082087765876,0.062275338432520186
CC_Central,rh_caudalmiddlefrontal_volume,0.027266860869195716,-0.007929703197558334,0.11025395931732443
CC_Mid_Anterior,rh_caudalmiddlefrontal_volume,0.045250475463659394,0.03109503303732336,0.10005232579553659
