Regions1,Regions2,p_value,FoldChange,r
lh_paracentral_volume,rh_caudalanteriorcingulate_volume,1.5902680223047458e-09,-4.084241610732487,0.15280603193918607
lh_parsopercularis_volume,rh_caudalanteriorcingulate_volume,1.0982984061591421e-16,10.914779700249792,0.20890396140103976
lh_parsorbitalis_volume,rh_caudalanteriorcingulate_volume,2.7858547874205066e-09,2.968371165313794,0.1505236047861391
lh_parstriangularis_volume,rh_caudalanteriorcingulate_volume,5.403077638052826e-13,-13.061277818576402,0.18221902818825522
lh_pericalcarine_volume,rh_caudalanteriorcingulate_volume,1.290450505958416e-06,1.2161682804402612,0.12283840631083644
lh_postcentral_volume,rh_caudalanteriorcingulate_volume,3.9460898689087417e-22,-20.88520538713686,0.24266685474676966
lh_posteriorcingulate_volume,rh_caudalanteriorcingulate_volume,1.6926440467006375e-37,-13.671901125396737,0.3174828549672857
lh_precentral_volume,rh_caudalanteriorcingulate_volume,5.8519016314886414e-27,-44.874730068788274,0.2687774678305992
lh_precuneus_volume,rh_caudalanteriorcingulate_volume,1.0535308746491815e-17,-19.346024789630686,0.21565242736983553
lh_rostralanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,3.4649285191947713e-40,8.338130012851579,0.32855462637420585
lh_rostralmiddlefrontal_volume,rh_caudalanteriorcingulate_volume,2.9855153432973394e-31,-8.690381461792457,0.28977627395833194
lh_superiorfrontal_volume,rh_caudalanteriorcingulate_volume,3.6740917642042934e-36,0.41120576371411877,0.31180075996277173
lh_superiorparietal_volume,rh_caudalanteriorcingulate_volume,1.3533278039413106e-07,-13.544914377533892,0.1336613518469258
lh_superiortemporal_volume,rh_caudalanteriorcingulate_volume,1.2567449447594542e-24,-12.147510112254976,0.2565404146724554
lh_supramarginal_volume,rh_caudalanteriorcingulate_volume,1.087973761138284e-08,-52.15878325639185,0.14482849866702793
lh_transversetemporal_volume,rh_caudalanteriorcingulate_volume,5.973969558930134e-05,-1.3698237992376936,0.10196569790483982
lh_insula_volume,rh_caudalanteriorcingulate_volume,1.4282180121333637e-25,-20.29699527011647,0.2615744520831829
Left-Cerebellum-White-Matter,rh_caudalanteriorcingulate_volume,0.0707838307134293,-64.17126063389883,0.045996336106665196
Left-Cerebellum-Cortex,rh_caudalanteriorcingulate_volume,0.003988991857938951,-110.5725438552833,0.07323032728390916
Left-Thalamus-Proper,rh_caudalanteriorcingulate_volume,0.006992982098269636,16.054576734181378,0.06861604183893222
Left-Caudate,rh_caudalanteriorcingulate_volume,0.021487699146478557,-9.876065027239088,-0.05851298879045012
Left-Putamen,rh_caudalanteriorcingulate_volume,4.318042968316592e-08,-3.446591211625347,0.13883115623486444
Left-Pallidum,rh_caudalanteriorcingulate_volume,3.5202519339781394e-08,-2.3827785525020055,0.13973585225586146
Brain-Stem,rh_caudalanteriorcingulate_volume,0.003071186454356324,-72.31638208568347,0.0752972956741631
Left-Hippocampus,rh_caudalanteriorcingulate_volume,3.627914014523029e-14,-0.8325543619625815,0.19112059415601532
Left-Amygdala,rh_caudalanteriorcingulate_volume,6.714097377331661e-17,-5.298095476624667,0.210339885919278
Left-Accumbens-area,rh_caudalanteriorcingulate_volume,5.522201985877143e-17,-0.5040138167126376,0.2109072185816174
Left-VentralDC,rh_caudalanteriorcingulate_volume,2.137503504694804e-09,-2.685951601979717,0.15160635475748716
Right-Cerebellum-White-Matter,rh_caudalanteriorcingulate_volume,0.031948494387683296,20.81373192504485,0.05459369918947343
Right-Cerebellum-Cortex,rh_caudalanteriorcingulate_volume,0.047010761193904696,-125.9706201664251,0.05055616156386538
Right-Thalamus-Proper,rh_caudalanteriorcingulate_volume,4.442702634295394e-05,1.7592304772483718,0.1037173819170973
Right-Caudate,rh_caudalanteriorcingulate_volume,0.11948195406339757,-9.890185778452302,-0.03963990801464756
Right-Putamen,rh_caudalanteriorcingulate_volume,2.403454668902809e-08,-6.485092823260541,0.14141080447802432
Right-Pallidum,rh_caudalanteriorcingulate_volume,5.120105371079102e-07,-2.330989428049787,0.12738256938548914
Right-Hippocampus,rh_caudalanteriorcingulate_volume,1.4739661127803112e-14,-0.6360848623672833,0.19399471166640864
Right-Amygdala,rh_caudalanteriorcingulate_volume,5.8628256684632755e-18,-1.9198448516527176,0.21730470869514687
Right-Accumbens-area,rh_caudalanteriorcingulate_volume,3.755129435377592e-26,1.360124557061737,0.2646133674317236
Right-VentralDC,rh_caudalanteriorcingulate_volume,5.292790064518526e-09,-2.710593801397046,0.14786780858093562
WM-hypointensities,rh_caudalanteriorcingulate_volume,7.307385149038167e-05,-49.665113912850444,-0.10075794226029734
CC_Posterior,rh_caudalanteriorcingulate_volume,0.5602875709053343,-1.983062327833645,0.014833254587235034
CC_Mid_Posterior,rh_caudalanteriorcingulate_volume,0.7298055773919493,-0.5881115524761202,0.008796749975613409
CC_Central,rh_caudalanteriorcingulate_volume,0.004353461923698281,-2.5057909028692142,0.07252799481741384
CC_Mid_Anterior,rh_caudalanteriorcingulate_volume,0.016721862348640894,-2.001080335112615,0.060887123539768606
