Lipids,Regions,p_value,FoldChange,r
S1P,rh_fusiform_volume,0.32246215667867256,0.4214982425234894,-0.03482913300701299
DHCER,rh_fusiform_volume,0.005762218903282447,0.2890675016475466,0.09699310000221459
CER,rh_fusiform_volume,0.17356741699767889,3.999046335115373,0.04789083047243465
CER1P,rh_fusiform_volume,0.02252813461389765,0.005210424684347411,-0.08020253380019553
HEXCER,rh_fusiform_volume,0.0493519397906076,0.5065725373160314,0.06912885991028817
HEX2CER,rh_fusiform_volume,0.0033072958136398647,0.10173277028872278,0.10316545345204492
HEX3CER,rh_fusiform_volume,0.44316703649673655,0.5243490013638055,-0.02699805742496672
GM3,rh_fusiform_volume,3.2638259853728516e-05,-0.011081514285251615,-0.14550204418870558
GM1,rh_fusiform_volume,0.8256053786651739,-0.017316695404277608,-0.00775866660012721
SULFATIDE,rh_fusiform_volume,0.09184607351034282,0.09699079901663654,-0.05930695540951226
SM,rh_fusiform_volume,0.3071651776690814,106.65078963726071,0.03594705083766076
PA,rh_fusiform_volume,0.5052919429435799,0.008618371121233898,-0.023454911965504394
PC,rh_fusiform_volume,0.036145401935151325,91.91810923689017,-0.0736801786979076
LPC,rh_fusiform_volume,0.34839300762816,38.84205080013248,0.0330102151249965
PE,rh_fusiform_volume,0.1006353589980995,-32.63373088707128,-0.05776306661988669
LPE,rh_fusiform_volume,0.2654165917861222,0.46274058308514465,-0.03920045752485678
PI,rh_fusiform_volume,0.13088678270399817,-1.6056768843146203,-0.053155004836891916
PIP1,rh_fusiform_volume,0.0008740249921227099,0.007457002862678341,0.11679392541486343
LPI,rh_fusiform_volume,0.014147824393998022,-0.03407433421613735,-0.08623265548090826
PS,rh_fusiform_volume,0.3666539593978817,0.3082376721444166,0.03178042878387628
PG,rh_fusiform_volume,0.6330394866412472,-0.02980913252048362,-0.01681116568793385
CE,rh_fusiform_volume,0.44946358756931937,164.73047255520044,0.026626886241897234
COH,rh_fusiform_volume,0.5527128652199924,68.83174610859353,0.020903416617981105
DE,rh_fusiform_volume,0.47705563256806777,7.119353317915506,0.02503384159741893
DEDE,rh_fusiform_volume,0.11695114397176973,0.09867623681770114,0.055160721801603904
METHYL,rh_fusiform_volume,0.7910212920407375,-5.9118873018991005,-0.009330588240620379
DIMETHYL,rh_fusiform_volume,0.7040105152368636,-3.0862184536196255,-0.013377091468922728
FA,rh_fusiform_volume,0.7855680583689436,-160.47230420724722,-0.00958007147439655
AC,rh_fusiform_volume,0.04997375288579589,0.007582215557836022,-0.06894114800446659
