Lipids,Regions,p_value,FoldChange,r
DXCA,rh_caudalanteriorcingulate_volume,0.8634408881303267,0.004615051536449524,0.006056356725742169
DG,rh_caudalanteriorcingulate_volume,0.0003106842104945117,44.634909078229704,0.12647420744169147
TG,rh_caudalanteriorcingulate_volume,0.000572146083360201,301.3314491227642,0.12084446593161635
UBIQUINONE,rh_caudalanteriorcingulate_volume,0.32865620490255987,3.4672656102918062,-0.03438632124460379
SPH,rh_caudalmiddlefrontal_volume,0.6826859349373369,0.02780792046846531,-0.014394178718234004
S1P,rh_caudalmiddlefrontal_volume,0.7202324613373358,-0.2278032504061526,-0.012610816083894019
DHCER,rh_caudalmiddlefrontal_volume,0.08766405705969714,0.1415908585944994,0.060083479936139356
CER,rh_caudalmiddlefrontal_volume,0.3844957247600022,4.216797588175744,-0.03061517778871411
CER1P,rh_caudalmiddlefrontal_volume,0.0006723590365835254,-0.004071035730895788,-0.11931619129540544
HEXCER,rh_caudalmiddlefrontal_volume,0.051734495570151,-0.3023137317916851,-0.06842001870770073
HEX2CER,rh_caudalmiddlefrontal_volume,0.9609683022033536,0.005616131367893736,-0.0017232494859857846
HEX3CER,rh_caudalmiddlefrontal_volume,0.0054557607424744956,-0.9332551726498566,-0.09761545335449044
GM3,rh_caudalmiddlefrontal_volume,0.29678248142236324,-0.3927250171965849,-0.0367269282616763
GM1,rh_caudalmiddlefrontal_volume,0.04612091367879144,0.02072994576907436,-0.07013741381087205
SULFATIDE,rh_caudalmiddlefrontal_volume,0.9262876486510829,-0.18966907896019145,-0.0032577369491402423
SM,rh_caudalmiddlefrontal_volume,0.027308068959573946,-40.424481260855565,0.07759995367842383
PA,rh_caudalmiddlefrontal_volume,0.011737611182969933,-0.01897198205393463,-0.08855904416985536
PC,rh_caudalmiddlefrontal_volume,0.04396763189713521,-400.7360074642995,-0.07084304567035334
LPC,rh_caudalmiddlefrontal_volume,0.00462017806407521,-157.09920253540008,-0.09948812923466067
PE,rh_caudalmiddlefrontal_volume,0.21415607132929995,-60.38652467317237,-0.043720782826972684
LPE,rh_caudalmiddlefrontal_volume,0.10368526407324026,-5.670761571548187,-0.057252448923991214
PI,rh_caudalmiddlefrontal_volume,0.5109732050977429,-59.98505465419134,0.023142937224479198
PIP1,rh_caudalmiddlefrontal_volume,0.00047903188257116544,-0.012402029807546264,0.12250642957496005
LPI,rh_caudalmiddlefrontal_volume,0.07651993045971776,-1.1923403612502796,-0.06230949126872097
PS,rh_caudalmiddlefrontal_volume,0.559575400687062,0.3851164501398832,-0.020543393231279954
PG,rh_caudalmiddlefrontal_volume,0.07197978897559533,0.07877371885153896,0.06329254883612319
CE,rh_caudalmiddlefrontal_volume,0.5098019431841014,-50.34621696248235,-0.023207105556282172
COH,rh_caudalmiddlefrontal_volume,0.5269229069805923,8.371933518342946,0.022276590067055065
DE,rh_caudalmiddlefrontal_volume,0.09713734343905053,-1.2247708636655512,-0.058364095126303306
DEDE,rh_caudalmiddlefrontal_volume,0.016052228361455922,-0.027606061861305375,-0.08463008398742776
METHYL,rh_caudalmiddlefrontal_volume,0.5894594222469302,16.337006872392678,0.018999678615987763
